one	day
day	mary
mary	giraffe
giraffe	and
and	tom
tom	elephant
elephant	that
that	they
they	are
are	friends
friends	they
they	were
were	playing
playing	with
with	a
a	ball
ball	near
near	a
a	swimming
swimming	pool
pool	when
when	they
they	were
were	playing
playing	with
with	the
the	ball
ball	the
the	ball
ball	fallen
fallen	to
to	the
the	swimming
swimming	pool
pool	but
but	tom
tom	elephant
elephant	jumped
jumped	to
to	the
the	swimming
swimming	pool
pool	and
and	took
took	the
the	ball
ball	he
he	gave
gave	the
the	ball
ball	to
to	mary
mary	giraffe
giraffe	and
and	she
she	fell
fell	in
in	love
love	of
of	tom
tom	elephant
elephant	then
then	tom
tom	elephant
elephant	accepted
accepted	the
the	two
two	animals
animals	married
married	and
and	has
has	got
got	ten
ten	childrens
childrens	popy
popy	mimy
mimy	momo
momo	choco
choco	chepo
chepo	cheese
cheese	roly
roly	meca
meca	timo
timo	and
and	tom
tom	junior
junior	when
when	choco
choco	was
was	big
big	he
he	married
married	with
with	amanda
amanda	cat
cat	and
and	has
has	got
got	two
two	hundred
hundred	and
and	eight
eight	childrens
childrens	momu
momu	meme
meme	toto
toto	croquet
croquet	normand
normand	felling
felling	ricardo
ricardo	bulling
bulling	path
path	the
the	end
end	!
!	
