mary	giraffe	play
giraffe	play	with
play	with	a
with	a	ball
a	ball	but
ball	but	then
but	then	the
then	the	ball
the	ball	falls
ball	falls	in
falls	in	the
in	the	water
the	water	and
water	and	tom
and	tom	elephant
tom	elephant	jumps
elephant	jumps	after
jumps	after	it
after	it	and
it	and	swims
and	swims	over
swims	over	to
over	to	the
to	the	ball
the	ball	and
ball	and	take
and	take	it
take	it	back
it	back	to
back	to	marri
to	marri	giraffe
marri	giraffe	and
giraffe	and	she
and	she	was
she	was	very
was	very	happy
very	happy	and
happy	and	said
and	said	thanks
said	thanks	to
thanks	to	tom
to	tom	elephant
tom	elephant	finish
elephant	finish	marry
finish	marry	giraffe
marry	giraffe	is
giraffe	is	a
is	a	giraffe
a	giraffe	who
giraffe	who	have
who	have	a
have	a	dress
a	dress	and
dress	and	she
and	she	got
she	got	a
got	a	tail
a	tail	she
tail	she	have
she	have	a
have	a	big
a	big	nose
big	nose	and
nose	and	big
and	big	eyes
big	eyes	she
eyes	she	have
she	have	dark
have	dark	shoes
dark	shoes	tom
shoes	tom	elephant
tom	elephant	got
elephant	got	a
got	a	jacket
a	jacket	and
jacket	and	pants
and	pants	and
pants	and	he
and	he	also
he	also	got
also	got	a
got	a	tie
a	tie	and
tie	and	he
and	he	has
he	has	a
has	a	big
a	big	nose
big	nose	and
nose	and	big
and	big	ears
big	ears	and
ears	and	funny
and	funny	eyes
funny	eyes	he
eyes	he	gots
he	gots	also
gots	also	a
also	a	tail
a	tail	and
tail	and	he
and	he	have
he	have	a
have	a	hat
a	hat	on
hat	on	continued
on	continued	it
continued	it	was
it	was	sunday
was	sunday	morning
sunday	morning	and
morning	and	tom
and	tom	elephant
tom	elephant	lived
elephant	lived	with
lived	with	marry
with	marry	giraffe
marry	giraffe	and
giraffe	and	they
and	they	had
they	had	been
had	been	married
been	married	after
married	after	the
after	the	episode
the	episode	were
episode	were	tom
were	tom	saved
tom	saved	marry's
saved	marry's	ball
marry's	ball	they
ball	they	was
they	was	outside
was	outside	and
outside	and	then
and	then	a
then	a	day
a	day	was
day	was	tom
was	tom	dead
tom	dead	and
dead	and	marry
and	marry	was
marry	was	verry
was	verry	sad
verry	sad	
sad		
