there	was	two
was	two	friends
two	friends	mary
friends	mary	giraffe
mary	giraffe	and
giraffe	and	tom
and	tom	elephant
tom	elephant	they
elephant	they	played
they	played	with
played	with	ball
with	ball	they
ball	they	played
they	played	and
played	and	played
and	played	then
played	then	the
then	the	ball
the	ball	fall
ball	fall	in
fall	in	the
in	the	pool
the	pool	thay
pool	thay	got
thay	got	scared
got	scared	the
scared	the	ball
the	ball	swim
ball	swim	far
swim	far	away
far	away	the
away	the	tom
the	tom	elephant
tom	elephant	jumped
elephant	jumped	into
jumped	into	the
into	the	pool
the	pool	he
pool	he	swam
he	swam	to
swam	to	the
to	the	ball
the	ball	mary
ball	mary	?
mary	?	how
?	how	to
how	to	swim
to	swim	tom
swim	tom	and
tom	and	the
and	the	ball
the	ball	get
ball	get	out
get	out	of
out	of	the
of	the	pool
the	pool	they
pool	they	were
they	were	wet
were	wet	the
wet	the	manager
the	manager	of
manager	of	the
of	the	pool
the	pool	jerry
pool	jerry	pig
jerry	pig	cow
pig	cow	brought
cow	brought	the
brought	the	towel
the	towel	to
towel	to	the
to	the	tom
the	tom	tom,
tom	tom,	jerry
tom,	jerry	and
jerry	and	mary
and	mary	played
mary	played	with
played	with	the
with	the	pool
the	pool	they
pool	they	get
they	get	tired
get	tired	they
tired	they	ate
they	ate	ice
ate	ice	cream
ice	cream	they
cream	they	go
they	go	to
go	to	the
to	the	beach
the	beach	they
beach	they	timmy
they	timmy	cow
timmy	cow	came
cow	came	and
came	and	play
and	play	with
play	with	jerry,
with	jerry,	tom,
jerry,	tom,	mary
tom,	mary	then
mary	then	they
then	they	swam
they	swam	in
swam	in	to
in	to	the
to	the	sea
the	sea	
sea		
