one	day
day	tom
tom	and
and	mary
mary	go
go	for
for	a
a	walk
walk	they
they	walk
walk	and
and	walk
walk	him
him	and
and	she
she	by
by	best
best	friend
friend	mary
mary	is
is	happy
happy	person
person	and
and	she
she	love
love	play
play	she
she	play
play	with
with	tom
tom	+
+	+,
+,	and
and	they
they	play
play	together
together	with
with	bool
bool	they
they	play
play	next
next	to
to	lake
lake	bool
bool	fall
fall	in
in	lake
lake	tom
tom	see
see	that
that	and
and	him
him	jump
jump	in
in	lake
lake	tom
tom	take
take	a
a	bool
bool	and
and	give
give	mary
mary	but
but	him
him	das
das	not
not	know
know	swim
swim	mary
mary	say
say	stand
stand	up
up	it
it	is
is	not
not	deep
deep	tom
tom	stand
stand	and
and	say
say	then
then	why
why	did
did	you
you	do
do	not
not	go
go	and
and	catch
catch	boll
boll	she
she	say
say	the
the	she
she	do
do	not
not	want
want	she
she	say
say	thank
thank	you
you	and
and	she
she	kiss
kiss	him
him	they
they	by
by	loved
loved	two
two	years
years	after
after	they
they	married
married	she
she	love
love	him
him	and
and	him
him	love
love	she
she	they
they	have
have	big
big	family
family	they
they	have
have	thirteen
thirteen	kids
kids	teen
teen	giraffes
giraffes	and
and	three
three	elephants
elephants	children
children	by
by	good
good	and
and	they
they	love
love	by
by	together
together	they
they	still
still	have
have	that
that	bool
bool	
